l0,l1,l2,n1,n2,u1,u2,youtube_id,mp4_id,png_id
geometry,hs-geo-foundations,hs-geo-intro-euclid,Geometry foundations,Intro to Euclidean geometry,https://es.khanacademy.org/math/geometry/hs-geo-foundations,https://es.khanacademy.org/math/geometry/hs-geo-foundations/hs-geo-intro-euclid,https://www.youtube.com/watch?v=Q5u4b8lqaKU,https://cdn.kastatic.org/KA-youtube-converted/Q5u4b8lqaKU.mp4/Q5u4b8lqaKU.mp4,https://cdn.kastatic.org/KA-youtube-converted/Q5u4b8lqaKU.mp4/Q5u4b8lqaKU.png
geometry,hs-geo-foundations,hs-geo-intro-euclid,Geometry foundations,Intro to Euclidean geometry,https://es.khanacademy.org/math/geometry/hs-geo-foundations,https://es.khanacademy.org/math/geometry/hs-geo-foundations/hs-geo-intro-euclid,https://www.youtube.com/watch?v=QGf_tbOZTpI,https://cdn.kastatic.org/KA-youtube-converted/QGf_tbOZTpI.mp4/QGf_tbOZTpI.mp4,https://cdn.kastatic.org/KA-youtube-converted/QGf_tbOZTpI.mp4/QGf_tbOZTpI.png
geometry,hs-geo-foundations,hs-geo-intro-euclid,Geometry foundations,Intro to Euclidean geometry,https://es.khanacademy.org/math/geometry/hs-geo-foundations,https://es.khanacademy.org/math/geometry/hs-geo-foundations/hs-geo-intro-euclid,https://www.youtube.com/watch?v=szlvmxwRdrY,https://cdn.kastatic.org/KA-youtube-converted/szlvmxwRdrY.mp4/szlvmxwRdrY.mp4,https://cdn.kastatic.org/KA-youtube-converted/szlvmxwRdrY.mp4/szlvmxwRdrY.png
geometry,hs-geo-foundations,hs-geo-intro-euclid,Geometry foundations,Intro to Euclidean geometry,https://es.khanacademy.org/math/geometry/hs-geo-foundations,https://es.khanacademy.org/math/geometry/hs-geo-foundations/hs-geo-intro-euclid,https://www.youtube.com/watch?v=_JrzTLGC_iI,https://cdn.kastatic.org/KA-youtube-converted/_JrzTLGC_iI.mp4/_JrzTLGC_iI.mp4,https://cdn.kastatic.org/KA-youtube-converted/_JrzTLGC_iI.mp4/_JrzTLGC_iI.png
geometry,hs-geo-foundations,hs-geo-intro-euclid,Geometry foundations,Intro to Euclidean geometry,https://es.khanacademy.org/math/geometry/hs-geo-foundations,https://es.khanacademy.org/math/geometry/hs-geo-foundations/hs-geo-intro-euclid,https://www.youtube.com/watch?v=3_czmiqqFL0,https://cdn.kastatic.org/KA-youtube-converted/3_czmiqqFL0.mp4/3_czmiqqFL0.mp4,https://cdn.kastatic.org/KA-youtube-converted/3_czmiqqFL0.mp4/3_czmiqqFL0.png
geometry,hs-geo-foundations,hs-geo-angles,Geometry foundations,Angles,https://es.khanacademy.org/math/geometry/hs-geo-foundations,https://es.khanacademy.org/math/geometry/hs-geo-foundations/hs-geo-angles,https://www.youtube.com/watch?v=sz2Ub5pcFfk,https://cdn.kastatic.org/KA-youtube-converted/sz2Ub5pcFfk.mp4/sz2Ub5pcFfk.mp4,https://cdn.kastatic.org/KA-youtube-converted/sz2Ub5pcFfk.mp4/sz2Ub5pcFfk.png
geometry,hs-geo-foundations,hs-geo-angles,Geometry foundations,Angles,https://es.khanacademy.org/math/geometry/hs-geo-foundations,https://es.khanacademy.org/math/geometry/hs-geo-foundations/hs-geo-angles,https://www.youtube.com/watch?v=0QpC8KGYZSE,https://cdn.kastatic.org/KA-youtube-converted/0QpC8KGYZSE.mp4/0QpC8KGYZSE.mp4,https://cdn.kastatic.org/KA-youtube-converted/0QpC8KGYZSE.mp4/0QpC8KGYZSE.png
geometry,hs-geo-foundations,hs-geo-angles,Geometry foundations,Angles,https://es.khanacademy.org/math/geometry/hs-geo-foundations,https://es.khanacademy.org/math/geometry/hs-geo-foundations/hs-geo-angles,https://www.youtube.com/watch?v=t53Aq6f9kkA,https://cdn.kastatic.org/KA-youtube-converted/t53Aq6f9kkA.mp4/t53Aq6f9kkA.mp4,https://cdn.kastatic.org/KA-youtube-converted/t53Aq6f9kkA.mp4/t53Aq6f9kkA.png
geometry,hs-geo-foundations,hs-geo-angles,Geometry foundations,Angles,https://es.khanacademy.org/math/geometry/hs-geo-foundations,https://es.khanacademy.org/math/geometry/hs-geo-foundations/hs-geo-angles,https://www.youtube.com/watch?v=SwrnzBx6Gfg,https://cdn.kastatic.org/KA-youtube-converted/SwrnzBx6Gfg.mp4/SwrnzBx6Gfg.mp4,https://cdn.kastatic.org/KA-youtube-converted/SwrnzBx6Gfg.mp4/SwrnzBx6Gfg.png
geometry,hs-geo-foundations,hs-geo-angles,Geometry foundations,Angles,https://es.khanacademy.org/math/geometry/hs-geo-foundations,https://es.khanacademy.org/math/geometry/hs-geo-foundations/hs-geo-angles,https://www.youtube.com/watch?v=4KLnSvc5dJI,https://cdn.kastatic.org/KA-youtube-converted/4KLnSvc5dJI.mp4/4KLnSvc5dJI.mp4,https://cdn.kastatic.org/KA-youtube-converted/4KLnSvc5dJI.mp4/4KLnSvc5dJI.png
geometry,hs-geo-foundations,hs-geo-angles,Geometry foundations,Angles,https://es.khanacademy.org/math/geometry/hs-geo-foundations,https://es.khanacademy.org/math/geometry/hs-geo-foundations/hs-geo-angles,https://www.youtube.com/watch?v=LfvFvWzK-EU,https://cdn.kastatic.org/KA-youtube-converted/LfvFvWzK-EU.mp4/LfvFvWzK-EU.mp4,https://cdn.kastatic.org/KA-youtube-converted/LfvFvWzK-EU.mp4/LfvFvWzK-EU.png
geometry,hs-geo-foundations,hs-geo-angles,Geometry foundations,Angles,https://es.khanacademy.org/math/geometry/hs-geo-foundations,https://es.khanacademy.org/math/geometry/hs-geo-foundations/hs-geo-angles,https://www.youtube.com/watch?v=6JlhnEyZbuA,https://cdn.kastatic.org/KA-youtube-converted/6JlhnEyZbuA.mp4/6JlhnEyZbuA.mp4,https://cdn.kastatic.org/KA-youtube-converted/6JlhnEyZbuA.mp4/6JlhnEyZbuA.png
geometry,hs-geo-foundations,hs-geo-angles,Geometry foundations,Angles,https://es.khanacademy.org/math/geometry/hs-geo-foundations,https://es.khanacademy.org/math/geometry/hs-geo-foundations/hs-geo-angles,https://www.youtube.com/watch?v=NRwESG7Dn8w,https://cdn.kastatic.org/KA-youtube-converted/NRwESG7Dn8w.mp4/NRwESG7Dn8w.mp4,https://cdn.kastatic.org/KA-youtube-converted/NRwESG7Dn8w.mp4/NRwESG7Dn8w.png
geometry,hs-geo-foundations,hs-geo-angles,Geometry foundations,Angles,https://es.khanacademy.org/math/geometry/hs-geo-foundations,https://es.khanacademy.org/math/geometry/hs-geo-foundations/hs-geo-angles,https://www.youtube.com/watch?v=8E-rMI8vrFg,https://cdn.kastatic.org/KA-youtube-converted/8E-rMI8vrFg.mp4/8E-rMI8vrFg.mp4,https://cdn.kastatic.org/KA-youtube-converted/8E-rMI8vrFg.mp4/8E-rMI8vrFg.png
geometry,hs-geo-foundations,hs-geo-angles,Geometry foundations,Angles,https://es.khanacademy.org/math/geometry/hs-geo-foundations,https://es.khanacademy.org/math/geometry/hs-geo-foundations/hs-geo-angles,https://www.youtube.com/watch?v=xRMA0b7trTQ,https://cdn.kastatic.org/KA-youtube-converted/xRMA0b7trTQ.mp4/xRMA0b7trTQ.mp4,https://cdn.kastatic.org/KA-youtube-converted/xRMA0b7trTQ.mp4/xRMA0b7trTQ.png
geometry,hs-geo-foundations,hs-geo-angles,Geometry foundations,Angles,https://es.khanacademy.org/math/geometry/hs-geo-foundations,https://es.khanacademy.org/math/geometry/hs-geo-foundations/hs-geo-angles,https://www.youtube.com/watch?v=RqXOJsCalYQ,https://cdn.kastatic.org/KA-youtube-converted/RqXOJsCalYQ.mp4/RqXOJsCalYQ.mp4,https://cdn.kastatic.org/KA-youtube-converted/RqXOJsCalYQ.mp4/RqXOJsCalYQ.png
geometry,hs-geo-foundations,hs-geo-angles,Geometry foundations,Angles,https://es.khanacademy.org/math/geometry/hs-geo-foundations,https://es.khanacademy.org/math/geometry/hs-geo-foundations/hs-geo-angles,https://www.youtube.com/watch?v=Sb3kIiNa-1s,https://cdn.kastatic.org/KA-youtube-converted/Sb3kIiNa-1s.mp4/Sb3kIiNa-1s.mp4,https://cdn.kastatic.org/KA-youtube-converted/Sb3kIiNa-1s.mp4/Sb3kIiNa-1s.png
geometry,hs-geo-foundations,hs-geo-angles,Geometry foundations,Angles,https://es.khanacademy.org/math/geometry/hs-geo-foundations,https://es.khanacademy.org/math/geometry/hs-geo-foundations/hs-geo-angles,https://www.youtube.com/watch?v=5vWoKdsvRPg,https://cdn.kastatic.org/KA-youtube-converted/5vWoKdsvRPg.mp4/5vWoKdsvRPg.mp4,https://cdn.kastatic.org/KA-youtube-converted/5vWoKdsvRPg.mp4/5vWoKdsvRPg.png
