l0,l1,l2,n1,n2,u1,u2,video_title,youtube_id,mp4_id,mp4_low_id,png_id
early-math,cc-early-math-counting-topic,cc-early-math-counting,Counting,Counting,https://api.khanacademy.org/math/early-math/cc-early-math-counting-topic,https://api.khanacademy.org/math/early-math/cc-early-math-counting-topic/cc-early-math-counting,Counting with small numbers,https://www.youtube.com/watch?v=y2-uaPiyoxc,https://cdn.kastatic.org/KA-youtube-converted/y2-uaPiyoxc.mp4/y2-uaPiyoxc.mp4,https://cdn.kastatic.org/KA-youtube-converted/y2-uaPiyoxc.mp4-low/y2-uaPiyoxc-low.mp4,https://cdn.kastatic.org/KA-youtube-converted/y2-uaPiyoxc.mp4/y2-uaPiyoxc.png
early-math,cc-early-math-counting-topic,cc-early-math-counting,Counting,Counting,https://api.khanacademy.org/math/early-math/cc-early-math-counting-topic,https://api.khanacademy.org/math/early-math/cc-early-math-counting-topic/cc-early-math-counting,Counting in order,https://www.youtube.com/watch?v=PEeUTQ0Gri8,https://cdn.kastatic.org/KA-youtube-converted/PEeUTQ0Gri8.mp4/PEeUTQ0Gri8.mp4,https://cdn.kastatic.org/KA-youtube-converted/PEeUTQ0Gri8.mp4-low/PEeUTQ0Gri8-low.mp4,https://cdn.kastatic.org/KA-youtube-converted/PEeUTQ0Gri8.mp4/PEeUTQ0Gri8.png
early-math,cc-early-math-counting-topic,cc-early-math-numbers-120,Counting,Numbers 0 to 120,https://api.khanacademy.org/math/early-math/cc-early-math-counting-topic,https://api.khanacademy.org/math/early-math/cc-early-math-counting-topic/cc-early-math-numbers-120,Number grid,https://www.youtube.com/watch?v=9XZypM2Z3Ro,https://cdn.kastatic.org/KA-youtube-converted/9XZypM2Z3Ro.mp4/9XZypM2Z3Ro.mp4,https://cdn.kastatic.org/KA-youtube-converted/9XZypM2Z3Ro.mp4-low/9XZypM2Z3Ro-low.mp4,https://cdn.kastatic.org/KA-youtube-converted/9XZypM2Z3Ro.mp4/9XZypM2Z3Ro.png
early-math,cc-early-math-counting-topic,cc-early-math-numbers-120,Counting,Numbers 0 to 120,https://api.khanacademy.org/math/early-math/cc-early-math-counting-topic,https://api.khanacademy.org/math/early-math/cc-early-math-counting-topic/cc-early-math-numbers-120,Missing numbers between 0 and 120,https://www.youtube.com/watch?v=1AqkBdCBm9o,https://cdn.kastatic.org/KA-youtube-converted/1AqkBdCBm9o.mp4/1AqkBdCBm9o.mp4,https://cdn.kastatic.org/KA-youtube-converted/1AqkBdCBm9o.mp4-low/1AqkBdCBm9o-low.mp4,https://cdn.kastatic.org/KA-youtube-converted/1AqkBdCBm9o.mp4/1AqkBdCBm9o.png
early-math,cc-early-math-counting-topic,cc-early-math-count-object-topic,Counting,Counting objects,https://api.khanacademy.org/math/early-math/cc-early-math-counting-topic,https://api.khanacademy.org/math/early-math/cc-early-math-counting-topic/cc-early-math-count-object-topic,Counting in pictures,https://www.youtube.com/watch?v=leDYnoNSvD4,https://cdn.kastatic.org/KA-youtube-converted/leDYnoNSvD4.mp4/leDYnoNSvD4.mp4,https://cdn.kastatic.org/KA-youtube-converted/leDYnoNSvD4.mp4-low/leDYnoNSvD4-low.mp4,https://cdn.kastatic.org/KA-youtube-converted/leDYnoNSvD4.mp4/leDYnoNSvD4.png
early-math,cc-early-math-counting-topic,cc-early-math-count-object-topic,Counting,Counting objects,https://api.khanacademy.org/math/early-math/cc-early-math-counting-topic,https://api.khanacademy.org/math/early-math/cc-early-math-counting-topic/cc-early-math-count-object-topic,Counting objects 1,https://www.youtube.com/watch?v=I9S5CvSqb5A,https://cdn.kastatic.org/KA-youtube-converted/I9S5CvSqb5A.mp4/I9S5CvSqb5A.mp4,https://cdn.kastatic.org/KA-youtube-converted/I9S5CvSqb5A.mp4-low/I9S5CvSqb5A-low.mp4,https://cdn.kastatic.org/KA-youtube-converted/I9S5CvSqb5A.mp4/I9S5CvSqb5A.png
early-math,cc-early-math-counting-topic,cc-early-math-count-object-topic,Counting,Counting objects,https://api.khanacademy.org/math/early-math/cc-early-math-counting-topic,https://api.khanacademy.org/math/early-math/cc-early-math-counting-topic/cc-early-math-count-object-topic,Counting objects 2,https://www.youtube.com/watch?v=EUqhLxFccbM,https://cdn.kastatic.org/KA-youtube-converted/EUqhLxFccbM.mp4/EUqhLxFccbM.mp4,https://cdn.kastatic.org/KA-youtube-converted/EUqhLxFccbM.mp4-low/EUqhLxFccbM-low.mp4,https://cdn.kastatic.org/KA-youtube-converted/EUqhLxFccbM.mp4/EUqhLxFccbM.png
early-math,cc-early-math-counting-topic,cc-early-math-comparing-numbers,Counting,Comparing small numbers,https://api.khanacademy.org/math/early-math/cc-early-math-counting-topic,https://api.khanacademy.org/math/early-math/cc-early-math-counting-topic/cc-early-math-comparing-numbers,Comparing numbers of objects,https://www.youtube.com/watch?v=__nkbr6DeTg,https://cdn.kastatic.org/KA-youtube-converted/__nkbr6DeTg.mp4/__nkbr6DeTg.mp4,https://cdn.kastatic.org/KA-youtube-converted/__nkbr6DeTg.mp4-low/__nkbr6DeTg-low.mp4,https://cdn.kastatic.org/KA-youtube-converted/__nkbr6DeTg.mp4/__nkbr6DeTg.png
early-math,cc-early-math-counting-topic,cc-early-math-comparing-numbers,Counting,Comparing small numbers,https://api.khanacademy.org/math/early-math/cc-early-math-counting-topic,https://api.khanacademy.org/math/early-math/cc-early-math-counting-topic/cc-early-math-comparing-numbers,Comparing numbers on the number line,https://www.youtube.com/watch?v=tJrSILRXOUc,https://cdn.kastatic.org/KA-youtube-converted/tJrSILRXOUc.mp4/tJrSILRXOUc.mp4,https://cdn.kastatic.org/KA-youtube-converted/tJrSILRXOUc.mp4-low/tJrSILRXOUc-low.mp4,https://cdn.kastatic.org/KA-youtube-converted/tJrSILRXOUc.mp4/tJrSILRXOUc.png
early-math,cc-early-math-counting-topic,cc-early-math-comparing-numbers,Counting,Comparing small numbers,https://api.khanacademy.org/math/early-math/cc-early-math-counting-topic,https://api.khanacademy.org/math/early-math/cc-early-math-counting-topic/cc-early-math-comparing-numbers,Counting by category,https://www.youtube.com/watch?v=UA975j_qsTQ,https://cdn.kastatic.org/KA-youtube-converted/UA975j_qsTQ.mp4/UA975j_qsTQ.mp4,https://cdn.kastatic.org/KA-youtube-converted/UA975j_qsTQ.mp4-low/UA975j_qsTQ-low.mp4,https://cdn.kastatic.org/KA-youtube-converted/UA975j_qsTQ.mp4/UA975j_qsTQ.png
